scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_lj,cpu_ms_ln,processing_ms_ln,bytes_ue,bytes_lj,bytes_ln,bytes_total,msgs_ue,msgs_lj,msgs_ln,msgs_total,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,,
g2_rain_fade,RAIN_FADE,14,,300,2,37,ok,,,1,67.916,2016,5,16.268,0.15,13.421,13.37687499,888,709,419,2016,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,38,ok,,,1,61.064,2012,5,10.73,0.118,12.562,12.624542,886,709,417,2012,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,39,ok,,,1,55.046583,2014,5,11.067,0.116,11.75,11.866166,888,708,418,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,40,ok,,,1,55.987042,2016,5,11.959,0.181,10.434,10.41875,888,709,419,2016,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,41,ok,,,1,60.1885,2016,5,16.262,0.224,11.802,11.7385,888,709,419,2016,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,42,ok,,,1,57.650667,2009,5,12.019,0.14,11.761,11.730708,886,706,417,2009,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,43,ok,,,1,59.27325,2017,5,11.413,0.102,10.992,11.005125,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,1,2,0.5,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,44,ok,,,1,57.457833,2015,5,11.76,0.121,10.623,10.588125,888,708,419,2015,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,45,ok,,,1,52.665583,2014,5,10.287,0.081,10.672,10.64558401,888,708,418,2014,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,2,2,1,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,46,ok,,,1,76.098042,2013,5,16.488,0.181,16.936,16.951166,887,708,418,2013,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,4,5,0.8,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,47,ok,,,1,56.220291,2015,5,10.561,0.106,10.717,10.69025,887,709,419,2015,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,48,ok,,,1,53.914875,2015,5,10.436,0.113,11.577,11.55825,888,708,419,2015,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,49,ok,,,1,52.389958,2017,5,10.571,0.115,11.348,11.348875,889,709,419,2017,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,50,ok,,,1,57.371125,2016,5,11.526,0.13,11.795,11.788542,888,709,419,2016,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,51,ok,,,1,56.065375,2012,5,10.577,0.127,11.003,11.005208,887,707,418,2012,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,1,2,0.5,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,52,ok,,,1,55.236583,2015,5,11.256,0.155,10.693,10.666459,888,708,419,2015,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,53,ok,,,1,58.68175,2015,5,10.732,0.138,10.934,10.890334,888,709,418,2015,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,54,ok,,,1,57.098167,2013,5,10.321,0.103,10.947,10.979167,887,708,418,2013,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,55,ok,,,1,57.532584,2015,5,10.493,0.129,11.111,11.091875,888,708,419,2015,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,56,ok,,,1,54.81725,2013,5,10.377,0.122,11.8,11.795542,887,708,418,2013,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,57,ok,,,1,52.91220899,2012,5,10.473,0.105,11.096,11.072625,887,707,418,2012,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,58,ok,,,1,54.807958,2009,5,10.499,0.135,11.633,11.620333,885,708,416,2009,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
g2_rain_fade,RAIN_FADE,14,,300,2,59,ok,,,1,53.468042,2012,5,10.567,0.12,10.627,10.618208,887,707,418,2012,2,2,1,5,1.7631E+12,1.7631E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,
