scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6
s1_online_only,LEO_ONLY,12,0.05,200,1,2,ok,,0,1,52.51629199483432,97,1,23.904000000000003,10.468000000000075,1760874946059,1760874946075
s1_online_only,LEO_ONLY,12,0.05,200,1,3,ok,,0,1,53.07795898988843,97,1,23.70699999999999,10.515999999999849,1760874946332,1760874946348
s1_online_only,LEO_ONLY,12,0.05,200,1,4,ok,,0,1,51.062374986940995,97,1,24.064999999999998,10.486999999999853,1760874946587,1760874946603
s1_online_only,LEO_ONLY,12,0.05,200,1,5,ok,,0,1,47.83308300829958,97,1,23.685000000000002,10.385999999999967,1760874946850,1760874946864
s1_online_only,LEO_ONLY,12,0.05,200,1,6,ok,,0,1,53.110833003302105,97,1,23.826999999999998,10.551000000000386,1760874947110,1760874947126
s1_online_only,LEO_ONLY,12,0.05,200,1,7,ok,,0,1,49.52637500537094,97,1,23.564999999999998,10.49200000000019,1760874947380,1760874947395
s1_online_only,LEO_ONLY,12,0.05,200,1,8,ok,,0,1,53.283957997336984,97,1,23.908,10.396000000000186,1760874947641,1760874947658
s1_online_only,LEO_ONLY,12,0.05,200,1,9,ok,,0,1,51.60845900536515,97,1,25.85,11.350999999999885,1760874947911,1760874947926
s1_online_only,LEO_ONLY,12,0.05,200,1,10,ok,,0,1,50.460708007449284,97,1,23.767999999999997,10.392000000000053,1760874948191,1760874948208
s1_online_only,LEO_ONLY,12,0.05,200,2,1,ok,,0,1,52.34279201249592,97,1,24.305,10.528999999999996,1760874949169,1760874949186
s1_online_only,LEO_ONLY,12,0.05,200,2,2,ok,,0,1,50.941583001986146,97,1,24.012999999999998,10.576000000000022,1760874949446,1760874949463
s1_online_only,LEO_ONLY,12,0.05,200,2,3,ok,,0,1,50.64058399875648,97,1,23.769999999999996,10.420000000000073,1760874949722,1760874949737
s1_online_only,LEO_ONLY,12,0.05,200,2,4,ok,,0,1,48.04866699851118,97,1,23.860999999999997,10.417000000000144,1760874949988,1760874950002
s1_online_only,LEO_ONLY,12,0.05,200,2,5,ok,,0,1,48.96429200016428,97,1,23.412999999999993,10.391999999999825,1760874950244,1760874950261
s1_online_only,LEO_ONLY,12,0.05,200,2,6,ok,,0,1,49.66066699125804,97,1,23.778000000000002,10.29600000000005,1760874950497,1760874950512
s1_online_only,LEO_ONLY,12,0.05,200,2,7,ok,,0,1,48.62033300742041,97,1,23.677999999999997,10.301000000000158,1760874950757,1760874950772
s1_online_only,LEO_ONLY,12,0.05,200,2,8,ok,,0,1,48.645666989614256,97,1,24.017000000000003,10.53300000000013,1760874951033,1760874951048
s1_online_only,LEO_ONLY,12,0.05,200,2,9,ok,,0,1,52.119750005658716,97,1,24.54699999999999,10.358999999999924,1760874951311,1760874951328
s1_online_only,LEO_ONLY,12,0.05,200,2,10,ok,,0,1,54.54645800637081,97,1,23.862,10.440000000000055,1760874951566,1760874951583
s1_online_only,LEO_ONLY,12,0.05,400,1,1,ok,,0,1,49.04600098961964,97,1,24.046,10.709999999999809,1760874952527,1760874952543
s1_online_only,LEO_ONLY,12,0.05,400,1,2,ok,,0,1,50.04633299540728,97,1,23.825999999999997,10.52800000000002,1760874952789,1760874952805
s1_online_only,LEO_ONLY,12,0.05,400,1,3,ok,,0,1,48.67962500429712,97,1,23.923999999999996,10.54300000000012,1760874953033,1760874953048
s1_online_only,LEO_ONLY,12,0.05,400,1,4,ok,,0,1,50.79091599327512,97,1,23.739999999999995,10.327999999999975,1760874953281,1760874953298
s1_online_only,LEO_ONLY,12,0.05,400,1,5,ok,,0,1,52.350208003190346,97,1,24.004000000000005,10.608000000000175,1760874953534,1760874953549
s1_online_only,LEO_ONLY,12,0.05,400,1,6,ok,,0,1,53.41691699868534,97,1,23.851,10.491999999999734,1760874953796,1760874953812
s1_online_only,LEO_ONLY,12,0.05,400,1,7,ok,,0,1,50.201457997900434,97,1,23.637999999999998,10.470999999999776,1760874954054,1760874954069
s1_online_only,LEO_ONLY,12,0.05,400,1,8,ok,,0,1,50.415667006745934,97,1,23.692,10.393000000000029,1760874954314,1760874954332
s1_online_only,LEO_ONLY,12,0.05,400,1,9,ok,,0,1,51.44749999453779,97,1,24.042000000000005,10.398000000000138,1760874954578,1760874954594
s1_online_only,LEO_ONLY,12,0.05,400,1,10,ok,,0,1,47.75512500782497,97,1,23.845000000000006,10.52000000000021,1760874954820,1760874954835
s1_online_only,LEO_ONLY,12,0.05,400,2,1,ok,,0,1,50.281666990485974,97,1,24.584999999999994,10.538000000000011,1760874955782,1760874955797
s1_online_only,LEO_ONLY,12,0.05,400,2,2,ok,,0,1,51.38754200015683,97,1,23.946999999999996,10.511999999999716,1760874956052,1760874956067
s1_online_only,LEO_ONLY,12,0.05,400,2,3,ok,,0,1,53.13462500635069,97,1,24.201,10.47700000000009,1760874956320,1760874956338
s1_online_only,LEO_ONLY,12,0.05,400,2,4,ok,,0,1,53.18383299163543,97,1,23.856,10.384000000000015,1760874956588,1760874956606
s1_online_only,LEO_ONLY,12,0.05,400,2,5,ok,,0,1,51.324416999705136,97,1,23.743000000000002,10.357999999999947,1760874956847,1760874956862
s1_online_only,LEO_ONLY,12,0.05,400,2,6,ok,,0,1,47.76033300731797,97,1,23.504,10.34900000000016,1760874957100,1760874957114
s1_online_only,LEO_ONLY,12,0.05,400,2,7,ok,,0,1,53.1330420053564,97,1,24.025,10.555999999999813,1760874957354,1760874957372
s1_online_only,LEO_ONLY,12,0.05,400,2,8,ok,,0,1,50.12624998926185,97,1,24.318999999999992,10.51700000000028,1760874957615,1760874957632
s1_online_only,LEO_ONLY,12,0.05,400,2,9,ok,,0,1,52.2613339999225,97,1,24.119999999999994,10.688000000000102,1760874957883,1760874957898
s1_online_only,LEO_ONLY,12,0.05,400,2,10,ok,,0,1,51.4902080030879,97,1,24.287,10.601999999999862,1760874958146,1760874958161
s1_online_only,LEO_ONLY,12,0.05,600,1,1,ok,,0,1,53.93020898918621,97,1,24.036,10.414999999999964,1760874959128,1760874959146
s1_online_only,LEO_ONLY,12,0.05,600,1,2,ok,,0,1,51.633375012897886,97,1,23.982000000000006,10.497000000000071,1760874959423,1760874959437
s1_online_only,LEO_ONLY,12,0.05,600,1,3,ok,,0,1,48.99820800346788,97,1,23.753000000000007,10.532999999999902,1760874959686,1760874959701
s1_online_only,LEO_ONLY,12,0.05,600,1,4,ok,,0,1,50.560667004901916,97,1,23.819999999999997,10.407999999999902,1760874959934,1760874959951
s1_online_only,LEO_ONLY,12,0.05,600,1,5,ok,,0,1,49.45745799341239,97,1,23.733999999999995,10.335999999999785,1760874960192,1760874960207
s1_online_only,LEO_ONLY,12,0.05,600,1,6,ok,,0,1,51.25050000788178,97,1,23.734000000000005,10.391000000000304,1760874960439,1760874960455
s1_online_only,LEO_ONLY,12,0.05,600,1,7,ok,,0,1,49.03583400300704,97,1,24.064000000000004,10.562999999999874,1760874960706,1760874960721
s1_online_only,LEO_ONLY,12,0.05,600,1,8,ok,,0,1,47.54720799974166,97,1,23.860999999999997,10.464000000000397,1760874960970,1760874960984
s1_online_only,LEO_ONLY,12,0.05,600,1,9,ok,,0,1,51.20637500658631,97,1,23.608,10.382000000000062,1760874961233,1760874961248
s1_online_only,LEO_ONLY,12,0.05,600,1,10,ok,,0,1,52.79545900702942,97,1,24.135000000000005,10.561999999999898,1760874961492,1760874961508
s1_online_only,LEO_ONLY,12,0.05,600,2,1,ok,,0,1,51.89350000000559,97,1,23.948999999999998,10.625999999999749,1760874962473,1760874962488
s1_online_only,LEO_ONLY,12,0.05,600,2,2,ok,,0,1,50.55162499775179,97,1,23.860999999999997,10.552000000000135,1760874962742,1760874962760
s1_online_only,LEO_ONLY,12,0.05,600,2,3,ok,,0,1,52.197333992808126,97,1,23.59,10.633000000000266,1760874963005,1760874963023
s1_online_only,LEO_ONLY,12,0.05,600,2,4,ok,,0,1,48.252750013489276,97,1,23.531000000000002,10.393999999999778,1760874963264,1760874963278
s1_online_only,LEO_ONLY,12,0.05,600,2,5,ok,,0,1,49.843291999422945,97,1,23.535000000000004,10.392000000000735,1760874963506,1760874963520
s1_online_only,LEO_ONLY,12,0.05,600,2,6,ok,,0,1,50.68279099941719,97,1,23.725,10.394999999999982,1760874963755,1760874963771
s1_online_only,LEO_ONLY,12,0.05,600,2,7,ok,,0,1,50.137874990468845,97,1,23.57599999999999,10.555000000000291,1760874964013,1760874964028
s1_online_only,LEO_ONLY,12,0.05,600,2,8,ok,,0,1,48.615084000630304,97,1,23.883000000000003,10.391000000000076,1760874964269,1760874964284
s1_online_only,LEO_ONLY,12,0.05,600,2,9,ok,,0,1,52.98658300307579,97,1,24.172,10.588000000000193,1760874964521,1760874964538
s1_online_only,LEO_ONLY,12,0.05,600,2,10,ok,,0,1,52.24191700108349,97,1,24.014999999999993,10.565999999999804,1760874964772,1760874964788
s1_online_only,LEO_ONLY,12,0.05,900,1,1,ok,,0,1,51.162375006242655,97,1,24.323,10.672000000000025,1760874965735,1760874965751
s1_online_only,LEO_ONLY,12,0.05,900,1,2,ok,,0,1,52.36141599016264,97,1,23.83799999999999,10.527999999999793,1760874966007,1760874966023
s1_online_only,LEO_ONLY,12,0.05,900,1,3,ok,,0,1,50.62862500199117,97,1,23.461999999999996,10.402000000000044,1760874966265,1760874966281
s1_online_only,LEO_ONLY,12,0.05,900,1,4,ok,,0,1,50.370166994980536,97,1,23.688999999999993,10.316000000000258,1760874966521,1760874966535
s1_online_only,LEO_ONLY,12,0.05,900,1,5,ok,,0,1,51.151958003174514,97,1,23.328999999999997,10.57400000000007,1760874966774,1760874966789
s1_online_only,LEO_ONLY,12,0.05,900,1,6,ok,,0,1,48.60579199157655,97,1,23.712000000000003,10.467999999999847,1760874967042,1760874967056
s1_online_only,LEO_ONLY,12,0.05,900,1,7,ok,,0,1,50.36862500128336,97,1,23.845000000000002,10.384000000000015,1760874967294,1760874967310
s1_online_only,LEO_ONLY,12,0.05,900,1,8,ok,,0,1,52.43033300212119,97,1,23.804999999999993,10.494000000000142,1760874967560,1760874967575
s1_online_only,LEO_ONLY,12,0.05,900,1,9,ok,,0,1,49.29924999305513,97,1,23.821,10.471000000000004,1760874967829,1760874967845
s1_online_only,LEO_ONLY,12,0.05,900,1,10,ok,,0,1,48.49337499763351,97,1,23.831999999999997,10.519999999999982,1760874968082,1760874968097
s1_online_only,LEO_ONLY,12,0.05,900,2,1,ok,,0,1,51.72083400248084,97,1,24.494999999999997,10.920000000000073,1760874969039,1760874969055
s1_online_only,LEO_ONLY,12,0.05,900,2,2,ok,,0,1,51.037832992733456,97,1,24.134999999999994,10.498999999999796,1760874969309,1760874969325
s1_online_only,LEO_ONLY,12,0.05,900,2,3,ok,,0,1,52.98320800648071,97,1,24.471999999999994,10.906000000000404,1760874969567,1760874969584
s1_online_only,LEO_ONLY,12,0.05,900,2,4,ok,,0,1,51.083957994706,97,1,24.041000000000004,10.567000000000007,1760874969831,1760874969846
s1_online_only,LEO_ONLY,12,0.05,900,2,5,ok,,0,1,49.23174998839386,97,1,24.066000000000003,10.545999999999367,1760874970101,1760874970115
s1_online_only,LEO_ONLY,12,0.05,900,2,6,ok,,0,1,48.42583299614489,97,1,23.79999999999999,10.600999999999658,1760874970361,1760874970376
s1_online_only,LEO_ONLY,12,0.05,900,2,7,ok,,0,1,55.32570800278336,97,1,25.373000000000005,10.43100000000004,1760874970622,1760874970640
s1_online_only,LEO_ONLY,12,0.05,900,2,8,ok,,0,1,49.110417006886564,97,1,23.435999999999996,10.531000000000404,1760874970896,1760874970910
s1_online_only,LEO_ONLY,12,0.05,900,2,9,ok,,0,1,49.44341599184554,97,1,24.223999999999993,10.399000000000342,1760874971152,1760874971168
s1_online_only,LEO_ONLY,12,0.05,900,2,10,ok,,0,1,51.88004100637045,97,1,23.49,10.375000000000455,1760874971407,1760874971421
s1_online_only,LEO_ONLY,12,0.1,200,1,1,ok,,0,1,49.996707995887846,97,1,24.336999999999996,10.819000000000415,1760874972346,1760874972362
s1_online_only,LEO_ONLY,12,0.1,200,1,2,ok,,0,1,47.44679199939128,97,1,23.579,10.47900000000027,1760874972605,1760874972621
s1_online_only,LEO_ONLY,12,0.1,200,1,3,ok,,0,1,52.64437499863561,97,1,24.31,10.57400000000007,1760874972863,1760874972880
s1_online_only,LEO_ONLY,12,0.1,200,1,4,ok,,0,1,49.04208400694188,97,1,23.645,10.49499999999989,1760874973111,1760874973127
s1_online_only,LEO_ONLY,12,0.1,200,1,5,ok,,0,1,52.029500002390705,97,1,23.999999999999996,10.402000000000044,1760874973367,1760874973382
s1_online_only,LEO_ONLY,12,0.1,200,1,6,ok,,0,1,53.01433301065117,97,1,23.786999999999995,10.457999999999629,1760874973623,1760874973640
s1_online_only,LEO_ONLY,12,0.1,200,1,7,ok,,0,1,52.2251249931287,97,1,23.632,10.470000000000255,1760874973882,1760874973897
