mode,scenario,run_index,timeout_ms,pto,status,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,processing_ms_leo2,bytes_ue,bytes_leo2,msgs_ue,msgs_leo2,rtt_ms,jitter_ms,loss_pct,rate_mbps
LEO_ONLY,z1_online_only,7,600,2,ok,31.6716659999976,1019.0,1,3.541999999999998,12.666000000000054,12.635833999997459,1019.0,1019.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,8,600,2,ok,28.328040999998194,1021.0,1,3.567,12.732999999999947,12.706166000000962,1021.0,1021.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,9,600,2,ok,33.61316699999861,1020.0,1,3.387999999999998,12.817999999999984,12.797541000001189,1020.0,1020.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,10,600,2,ok,32.3142919999988,1021.0,1,3.6019999999999968,13.012000000000057,12.98749999999771,1021.0,1021.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,11,600,2,ok,32.07433399999715,1021.0,1,3.705000000000002,13.081999999999994,13.060416999998381,1021.0,1021.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,12,600,2,ok,30.421624999998897,1020.0,1,3.584000000000003,13.141999999999939,13.116207999999574,1020.0,1020.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,13,600,2,ok,30.971416999999946,1020.0,1,3.6069999999999993,13.131999999999834,13.116792000001709,1020.0,1020.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,14,600,2,ok,35.067874999999304,1021.0,1,3.5399999999999956,13.130999999999972,13.10883300000043,1021.0,1021.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,15,600,2,ok,33.71291599999893,1020.0,1,3.4749999999999943,13.011999999999944,12.99016600000158,1020.0,1020.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,16,600,2,ok,29.76062500000154,1021.0,1,3.611000000000004,12.814000000000078,12.791833000001418,1021.0,1021.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,17,600,2,ok,31.592082999999604,1020.0,1,3.6009999999999955,13.109000000000037,13.08783300000016,1020.0,1020.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,18,600,2,ok,31.742375000000322,1021.0,1,3.547000000000004,13.166000000000054,13.133209000002921,1021.0,1021.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,19,600,2,ok,31.220500000003426,1021.0,1,3.6910000000000025,12.985000000000014,12.96058300000169,1021.0,1021.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,20,600,2,ok,29.452833000000567,1020.0,1,3.671999999999997,13.466000000000008,13.46991599999825,1020.0,1020.0,1,1,12,2,0.0,
LEO_ONLY,z1_online_only,1,200,2,ok,36.02404200000109,1021.0,1,3.6679999999999993,13.104000000000042,13.079832999999041,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,2,200,2,ok,33.66054100000326,1021.0,1,3.567,13.399999999999977,13.3743339999981,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,3,200,2,ok,28.966707999998675,1021.0,1,3.4989999999999988,12.995000000000005,12.969750000003444,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,4,200,2,ok,32.55237500000163,1021.0,1,3.530999999999999,12.944999999999936,12.923041999997054,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,5,200,2,ok,33.36870900000122,1020.0,1,3.5340000000000096,13.280999999999949,13.245875999999157,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,6,200,2,ok,31.997040999996784,1020.0,1,3.722999999999999,13.281000000000063,13.25058300000137,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,7,200,2,ok,28.034667000000013,1021.0,1,3.615000000000002,13.000999999999976,12.973792000003925,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,8,200,2,ok,30.97570900000335,1021.0,1,3.474999999999998,12.982999999999947,12.95650000000137,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,9,200,2,ok,32.654749999998955,1020.0,1,3.5500000000000043,13.174999999999955,13.155541999999798,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,10,200,2,ok,33.40679200000096,1020.0,1,3.5470000000000006,12.797000000000025,12.773625000001232,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,11,200,2,ok,34.81833400000056,1020.0,1,3.562999999999999,13.199999999999932,13.177667000000781,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,12,200,2,ok,34.352791999999965,1020.0,1,3.536999999999992,13.108000000000061,13.079834000002677,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,13,200,2,ok,29.547250000000247,1020.0,1,3.455999999999996,12.553000000000111,12.54149999999754,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,14,200,2,ok,31.254916999998272,1021.0,1,3.575999999999997,13.00700000000029,12.98233400000015,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,15,200,2,ok,33.39304200000015,1021.0,1,3.6759999999999984,13.113999999999805,13.084290999998416,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,16,200,2,ok,32.52512499999938,1021.0,1,3.5159999999999982,13.037000000000035,13.014416000004303,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,17,200,2,ok,33.29087499999872,1021.0,1,3.721999999999994,13.096000000000004,13.124458999996591,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,18,200,2,ok,30.626750000003256,1021.0,1,3.6389999999999993,13.25500000000011,13.230583000002127,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,19,200,2,ok,31.616375000005803,1021.0,1,3.461000000000002,12.9050000000002,12.884542000001886,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,20,200,2,ok,33.036959000000365,1021.0,1,3.596,12.950000000000045,12.924374999997212,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,1,400,2,ok,34.75187500000487,1021.0,1,3.6869999999999976,13.173000000000002,13.151000000000579,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,2,400,2,ok,35.104874999994706,1020.0,1,3.4479999999999933,12.871000000000095,12.85020800000325,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,3,400,2,ok,31.877082999997697,1021.0,1,3.4390000000000036,13.284999999999854,13.25945899999681,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,4,400,2,ok,31.75687499999924,1021.0,1,3.378000000000007,12.71400000000017,12.693249999998102,1021.0,1021.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,5,400,2,ok,31.284665999997685,1020.0,1,3.3989999999999974,12.971000000000004,12.95199999999852,1020.0,1020.0,1,1,12,2,0.1,
LEO_ONLY,z1_online_only,6,400,2,ok,29.18975000000046,1021.0,1,3.6519999999999975,12.856999999999744,12.833540999999116,1021.0,1021.0,1,1,12,2,0.1,
