scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,cpu_ms_ground,cpu_ms_ncc,processing_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,combo_index,,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,31,ok,,0,1,79.897125,208,6,0.493,0.029,0.048,0.048,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,6,0,0,0,,,,,,0,0,0.096,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,32,ok,,0,1,85.339042,208,6,0.427,0.04,0.038,0.038,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.076,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,33,ok,,0,1,77.142125,208,6,0.416,0.035,0.037,0.037,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.074,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,34,ok,,0,1,72.966375,208,6,0.421,0.029,0.031,0.031,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.062,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,35,ok,,0,1,76.19925,208,6,0.457,0.026,0.038,0.038,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.076,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,36,ok,,0,1,86.035084,208,6,0.41,0.032,0.035,0.035,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.07,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,37,ok,,0,1,90.326792,208,6,0.522,0.047,0.08,0.08,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.16,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,38,ok,,0,1,77.842,208,6,0.426,0.029,0.039,0.039,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,4,0,0,0,,,,,,0,0,0.078,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,39,ok,,0,1,78.264541,208,6,0.457,0.024,0.029,0.029,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.058,,,,,,,,,,,
ren_rain_fade,RAIN_FADE,14.000/14.000,,300,2,40,ok,,0,1,86.102,208,6,0.455,0.039,0.038,0.038,0,1.76303E+12,1.76303E+12,light→light,0.64,,,0,5,0,0,0,,,,,,0,0,0.076,,,,,,,,,,,
