scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_ap2,processing_ms_ap2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,37,ok,,0,1,21.506417,661,1,0.465,2.762,3.674957999,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,38,ok,,0,1,26.107625,661,1,0.519,2.873,3.945625,1.76275E+12,1.76275E+12,light,0.8,80,0,1,2,0.5,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,39,ok,,0,1,22.550833,661,1,0.489,2.79,3.579667,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,40,ok,,0,1,21.32825,661,1,0.481,2.861,3.939375001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,41,ok,,0,1,24.034959,661,1,0.477,2.719,3.677125002,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,42,ok,,0,1,18.697916,661,1,0.478,2.711,3.696624999,1.76275E+12,1.76275E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,43,ok,,0,1,19.568292,661,1,0.582,2.645,3.582416999,1.76275E+12,1.76275E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,44,ok,,0,1,21.812291,661,1,0.519,2.693,3.724124999,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,45,ok,,0,1,25.635,661,1,0.525,2.818,3.817500001,1.76275E+12,1.76275E+12,light,0.8,80,0,2,2,1,0,0,,,,,,,,,,,,,,,,
l2_rain_fade,RAIN_FADE,14,0.1,300,2,46,ok,,0,1,26.50375,661,1,0.487,2.795,3.816334001,1.76275E+12,1.76275E+12,light,0.8,80,0,0,2,0,0,0,,,,,,,,,,,,,,,,
