scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks
z2_rain_fade,RAIN_FADE,14,0.2,300,2,7,ok,,0,1,39.92237500006013,1020.0,1,3.7419999999999973,16.214000000000055,1762174940211,1762174940226,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,8,ok,,0,1,31.51491700009501,1020.0,1,3.4370000000000047,13.346000000000004,1762174940503,1762174940514,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,9,ok,,0,1,32.85554100011723,1020.0,1,3.5619999999999976,13.016999999999939,1762174940832,1762174940843,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,10,ok,,0,1,33.83616700011771,1020.0,1,3.4849999999999994,12.936000000000035,1762174941173,1762174941185,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,11,ok,,0,1,33.73604199987312,1020.0,1,3.5109999999999992,13.019999999999982,1762174941476,1762174941487,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,12,ok,,0,1,33.69783300013296,1020.0,1,3.6269999999999953,13.405999999999949,1762174941828,1762174941840,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,13,ok,,0,1,31.222916000388068,1021.0,1,3.6780000000000115,13.202999999999975,1762174942158,1762174942169,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,14,ok,,0,1,33.84920799999236,1020.0,1,3.6640000000000015,13.004000000000019,1762174942501,1762174942512,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,15,ok,,0,1,36.944708000191895,1020.0,1,3.541000000000004,13.274000000000001,1762174942841,1762174942853,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,16,ok,,0,1,33.026375000190455,1019.0,1,3.6180000000000057,13.173999999999978,1762174943158,1762174943169,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,17,ok,,0,1,36.14670900014971,1020.0,1,3.661999999999999,12.825000000000045,1762174943463,1762174943475,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,18,ok,,0,1,32.74541600012526,1019.0,1,3.583000000000002,13.260000000000105,1762174943810,1762174943822,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,19,ok,,0,1,39.897916999962035,1021.0,1,3.364999999999995,13.221000000000117,1762174944097,1762174944111,moderate,0.5,50.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,300,2,20,ok,,0,1,31.105125000067346,1019.0,1,3.8560000000000016,13.097999999999956,1762174944465,1762174944475,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,1,ok,,0,1,33.2058330000109,1020.0,1,3.5450000000000017,13.121999999999957,1762174944896,1762174944909,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,2,ok,,0,1,35.04216700002871,1020.0,1,3.7109999999999985,12.908999999999764,1762174945232,1762174945244,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,3,ok,,0,1,33.31974999991871,1020.0,1,3.659000000000006,13.090000000000032,1762174945619,1762174945632,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,4,ok,,0,1,33.964999999625434,1020.0,1,3.5360000000000014,12.997000000000185,1762174945942,1762174945954,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,5,ok,,0,1,35.495000000082655,1020.0,1,3.667000000000005,12.96300000000008,1762174946280,1762174946294,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,6,ok,,0,1,34.30579199994099,1020.0,1,3.5219999999999985,12.940000000000168,1762174946610,1762174946621,moderate,0.5,50.0,0.0,1,1,1.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,7,ok,,0,1,30.793791999712994,1020.0,1,4.008000000000003,13.342999999999847,1762174946946,1762174946957,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,8,ok,,0,1,34.99683300015022,1020.0,1,3.570999999999998,13.35300000000018,1762174947282,1762174947294,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,9,ok,,0,1,35.44520800005557,1021.0,1,3.7239999999999966,13.565000000000055,1762174947600,1762174947614,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,10,ok,,0,1,34.17370899978778,1020.0,1,3.5180000000000007,13.399000000000115,1762174947931,1762174947944,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,11,ok,,0,1,34.98245799983124,1020.0,1,4.033999999999999,13.401000000000067,1762174948263,1762174948277,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,12,ok,,0,1,34.03441699992982,1021.0,1,3.801000000000002,13.501000000000204,1762174948584,1762174948596,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,13,ok,,0,1,33.79345799976363,1021.0,1,3.7280000000000015,13.318000000000211,1762174948919,1762174948932,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,14,ok,,0,1,34.48891600010029,1020.0,1,3.6499999999999986,13.360000000000127,1762174949271,1762174949284,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,15,ok,,0,1,34.44916699982059,1021.0,1,3.641999999999996,13.40300000000002,1762174949609,1762174949620,moderate,0.5,50.0,0.0,0,1,0.0,0,0
z2_rain_fade,RAIN_FADE,14,0.2,400,2,16,ok,,0,1,35.21358299985877,1021.0,1,3.7309999999999945,13.457000000000107,1762174949945,1762174949956,moderate,0.5,50.0,0.0,0,1,0.0,0,0
