scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_lj,cpu_ms_ln,processing_ms_ground,bytes_lj,bytes_ln,bytes_total,msgs_lj,msgs_ln,msgs_total,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,bytes_ue
g1_online_only,LEO_ONLY,12,0.0,600,2,11,ok,,0,2,58.00491600166424,1482.0,4,10.067,0.0340000000001055,9.823000000000093,9.82112500059884,709.0,416.0,1482.0,2,1,4,1761206599327,1761206599355,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,600,2,12,ok,,0,2,53.321832998335594,1481.0,4,10.175000000000004,0.03599999999960346,9.81499999999994,9.81287499962491,709.0,415.0,1481.0,2,1,4,1761206599634,1761206599656,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,600,2,13,ok,,0,2,49.618083001405466,1481.0,4,9.572,0.035999999999830834,9.861999999999853,9.859416000836063,708.0,417.0,1481.0,2,1,4,1761206599944,1761206599969,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,600,2,14,ok,,0,2,52.41441700127325,1478.0,4,10.004999999999999,0.0340000000001055,9.898000000000138,9.89566700081923,707.0,415.0,1478.0,2,1,4,1761206600247,1761206600273,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,600,2,15,ok,,0,2,53.01666699961061,1479.0,4,9.785000000000004,0.04599999999982174,9.951999999999998,9.949750001396751,707.0,415.0,1479.0,2,1,4,1761206600542,1761206600569,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,600,2,16,ok,,0,2,58.32791699867812,1481.0,4,10.241000000000003,0.03600000000005821,9.881999999999948,9.880292000161717,708.0,417.0,1481.0,2,1,4,1761206600829,1761206600858,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,600,2,17,ok,,0,2,56.99504199947114,1483.0,4,10.001000000000001,0.03799999999978354,10.101999999999975,10.099875002197223,708.0,418.0,1483.0,2,1,4,1761206601146,1761206601176,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,600,2,18,ok,,0,2,52.23208300230908,1482.0,4,9.658000000000001,0.03700000000003456,9.786000000000058,9.78387500072131,709.0,416.0,1482.0,2,1,4,1761206601442,1761206601466,,,,,,,,,,,,,,,,357.0
g1_online_only,LEO_ONLY,12,0.0,600,2,19,ok,,0,2,55.4442079992441,1481.0,4,10.073,0.03699999999980719,9.888999999999896,9.887333999358816,708.0,417.0,1481.0,2,1,4,1761206601747,1761206601773,,,,,,,,,,,,,,,,356.0
g1_online_only,LEO_ONLY,12,0.0,600,2,20,ok,,0,2,54.96658300035051,1480.0,4,9.881,0.03600000000028558,9.79999999999984,9.796916998311644,708.0,415.0,1480.0,2,1,4,1761206602052,1761206602078,,,,,,,,,,,,,,,,357.0
