scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_ap2,processing_ms_ap2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,15,ok,,0,1,20.32241699998849,663,1,0.7490000000000023,2.118999999999687,2.773374999378575,1762007559041,1762007559247,,,,,,,,,,short,6919,319,240,275,3
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,16,ok,,0,1,21.961750000627944,663,1,0.7909999999999968,2.418000000000575,3.1725410008220933,1762007567921,1762007568147,,,,,,,,,,short,7409,701,332,191,0
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,17,ok,,0,1,22.88458300063212,663,1,0.7230000000000061,2.904000000000451,3.582082999855629,1762007577065,1762007577275,,,,,,,,,,short,7427,824,246,206,1
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,18,failed,handover_client,1,0,0.0,0,0,0.0,0.0,0.0,1762007586263,,,,,,,,,,,short,7400,340,277,236,2
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,19,failed,handover_client,1,0,0.0,0,0,0.0,0.0,0.0,1762007595126,,,,,,,,,,,short,6354,630,245,271,2
l3_short_window,SHORT_WINDOW,12.0,0.5,400,2,20,ok,,0,1,17.068125000150758,663,1,0.6900000000000048,2.8440000000009604,3.9943339997989824,1762007602856,1762007603069,,,,,,,,,,short,6325,335,318,234,1
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,1,failed,handover_client,1,0,0.0,0,0,0.0,0.0,0.0,1762007610852,,,,,,,,,,,mid,9569,441,317,222,2
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,2,failed,handover_client,1,0,0.0,0,0,0.0,0.0,0.0,1762007622375,,,,,,,,,,,mid,9256,700,317,167,6
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,3,ok,,0,1,19.060000000536093,663,1,0.7659999999999982,2.5579999999999927,3.5843340010615066,1762007633429,1762007633648,,,,,,,,,,mid,10319,895,326,236,1
l3_short_window,SHORT_WINDOW,12.0,0.5,200,2,4,ok,,0,1,17.239083001186373,663,1,0.7149999999999963,2.701999999999316,3.615708999859635,1762007644852,1762007645057,,,,,,,,,,mid,10372,385,310,164,2
